村里,總統票總數,柯文哲,賴清德,侯友宜
彰化縣北斗鎮西德里,3255,880,1280,1095
新北市新莊區海山里,3492,879,1539,1074
新北市汐止區金龍里,3485,879,1300,1306
臺中市大里區大明里,2961,879,1145,937
臺南市東區虎尾里,3778,879,1791,1108
南投縣南投市嘉和里,3115,879,1121,1115
新竹市北區福林里,2776,879,915,982
臺北市內湖區大湖里,3366,878,1185,1303
新北市新莊區信義里,3194,878,1339,977
新竹市東區武功里,2939,878,555,1506
臺中市北屯區東光里,3240,877,1255,1108
桃園市中壢區林森里,2861,876,917,1068
臺南市佳里區鎮山里,3892,876,2132,884
基隆市七堵區泰安里,2990,876,1052,1062
新竹市北區武陵里,3265,876,537,1852
彰化縣社頭鄉廣興村,3019,875,1237,907
新竹市東區光鎮里,2545,875,912,758
臺北市文山區樟腳里,3342,874,1073,1395
新北市中和區瓦磘里,3525,874,1294,1357
新北市蘆洲區長安里,3083,874,1462,747
桃園市龍潭區高原里,2855,874,1040,941
桃園市平鎮區北華里,2896,874,925,1097
臺南市南區開南里,3841,874,2012,955
高雄市大寮區內坑里,3651,873,1796,982
嘉義市西區竹圍里,3230,873,1405,952
新北市蘆洲區永德里,2779,872,1186,721
桃園市楊梅區高山里,2565,872,738,955
臺南市安南區頂安里,3353,872,1803,678
臺南市安南區溪東里,3207,872,1569,766
高雄市仁武區大灣里,3476,872,1767,837
臺南市東區關聖里,3315,871,1393,1051
彰化縣田中鎮新民里,2974,871,1055,1048
新北市林口區林口里,3262,870,1267,1125
桃園市中壢區青溪里,2552,870,937,745
桃園市八德區大仁里,2955,870,1205,880
南投縣南投市軍功里,2947,870,1018,1059
臺北市文山區樟新里,3358,869,988,1501
新北市土城區廷寮里,3087,868,1248,971
新北市新店區青潭里,3425,867,1131,1427
桃園市八德區大興里,2894,867,1058,969
桃園市龍潭區東興里,2732,867,680,1185
高雄市大寮區會社里,3864,867,1820,1177
宜蘭縣羅東鎮國華里,3066,867,1344,855
臺中市豐原區東湳里,2948,866,1299,783
臺南市安南區南里,3275,866,1718,691
新北市板橋區柏翠里,3271,865,1332,1074
雲林縣麥寮鄉橋頭村,2596,865,946,785
新北市新莊區成德里,3000,864,1273,863
桃園市觀音區草漯里,2506,864,1031,611
臺中市南屯區中和里,3076,864,1292,920
新北市新店區美潭里,3315,863,993,1459
臺中市大雅區大雅里,3179,863,1182,1134
桃園市中壢區金華里,3105,862,910,1333
彰化縣鹿港鎮頂番里,2709,862,876,971
新北市中和區秀峰里,3121,861,907,1353
新北市新店區中興里,3794,861,1076,1857
新北市泰山區義學里,2953,861,1200,892
臺中市西屯區上德里,2981,860,1045,1076
臺中市太平區成功里,2625,860,1041,724
苗栗縣苗栗市福安里,2452,860,533,1059
新北市土城區貨饒里,3052,859,1295,898
桃園市桃園區三民里,3087,859,1000,1228
桃園市中壢區興福里,2788,859,1009,920
臺中市西區公德里,3130,859,1231,1040
臺中市東區合作里,2770,858,749,1163
苗栗縣頭份市建國里,2450,858,607,985
南投縣草屯鎮新庄里,2691,858,910,923
新北市淡水區油車里,3427,857,1268,1302
新北市土城區沛陂里,3043,857,1236,950
桃園市中壢區至善里,2624,857,644,1123
高雄市仁武區仁武里,3598,857,1900,841
桃園市龜山區楓樹里,2872,856,1190,826
桃園市八德區興仁里,2515,856,848,811
新北市新莊區光明里,2892,855,1206,831
臺南市東區仁和里,3235,855,1474,906
新竹市北區康樂里,2371,855,890,626
桃園市蘆竹區中福里,2928,854,1417,657
高雄市前鎮區興東里,3854,854,1793,1207
臺北市大同區光能里,3156,853,1421,882
新北市三重區永福里,3261,853,1603,805
臺北市大安區龍圖里,4000,852,1376,1772
臺北市大同區星明里,3370,852,1461,1057
臺北市文山區博嘉里,3543,852,1227,1464
桃園市八德區瑞泰里,2862,852,1014,996
臺中市北區賴厝里,2941,852,998,1091
高雄市鳳山區東門里,3649,852,1349,1448
新竹市東區復中里,2929,852,1050,1027
新北市土城區樂利里,3206,851,1285,1070
桃園市中壢區仁義里,2774,851,992,931
新竹市東區湖濱里,2579,851,909,819
桃園市平鎮區廣仁里,2872,850,1023,999
臺中市太平區豐年里,3087,850,1097,1140
新北市板橋區華中里,3188,849,1473,866
新北市新店區員潭里,3294,849,1040,1405
高雄市大社區觀音里,3764,849,2083,832
臺北市萬華區青山里,3610,848,1569,1193
新北市新店區雙城里,3635,848,1300,1487
新竹縣竹東鎮鷄林里,2530,848,540,1142
雲林縣虎尾鎮廉使里,2678,848,1144,686
嘉義市西區保生里,3200,848,1446,906
高雄市鳳山區善美里,3749,847,1870,1032
彰化縣彰化市復興里,2862,847,1053,962
臺北市士林區天福里,3790,846,1536,1408
新北市樹林區彭厝里,2979,846,1311,822
新北市淡水區沙崙里,3216,846,1135,1235
臺南市北區大港里,3769,846,1914,1009
臺北市文山區景華里,3426,845,1103,1478
臺北市士林區蘭興里,3980,845,1719,1416
新北市土城區學士里,3112,845,1222,1045
臺南市安南區長安里,3330,845,1810,675
嘉義市西區福安里,3050,845,1312,893
臺北市大安區通化里,3610,844,1421,1345
臺北市大安區光信里,4310,844,1618,1848
臺中市西區藍興里,3032,844,1217,971
臺中市大甲區孟春里,2695,844,1083,768
臺北市大安區龍安里,3766,843,1438,1485
臺北市萬華區新安里,3344,843,1060,1441
新北市鶯歌區永吉里,2988,843,1163,982
桃園市楊梅區豐野里,2769,843,965,961
臺南市北區北門里,3483,843,1579,1061
彰化縣鹿港鎮永安里,3048,843,1332,873
新北市八里區埤頭里,2987,842,1226,919
花蓮縣吉安鄉仁和村,2883,842,696,1345
新竹市香山區埔前里,2277,842,891,544
新北市板橋區聚安里,3162,841,1372,949
新北市新莊區思源里,3305,841,1510,954
桃園市大溪區田心里,3061,841,1468,752
苗栗縣竹南鎮聖福里,2468,841,756,871
新竹市北區育英里,2460,841,978,641
新北市土城區大安里,3087,840,1216,1031
桃園市中壢區仁和里,2565,840,696,1029
桃園市楊梅區三民里,2358,840,674,844
高雄市鳳山區福誠里,3446,840,1718,888
臺北市松山區復盛里,3786,839,1364,1583
臺北市中正區螢圃里,3518,839,1212,1467
新北市新莊區昌隆里,2835,839,1108,888
臺中市沙鹿區興安里,2471,839,919,713
臺北市南港區百福里,3249,838,1238,1173
臺南市新市區大社里,3250,838,1817,595
臺北市文山區萬有里,3465,837,1113,1515
新北市三重區慈祐里,3128,837,1452,839
桃園市中壢區普強里,2676,837,815,1024
臺南市安南區州北里,3198,837,1648,713
苗栗縣竹南鎮營盤里,2577,837,905,835
屏東縣屏東市勝利里,3519,837,1306,1376
臺北市信義區大道里,3715,836,1480,1399
臺北市文山區景仁里,3579,836,1128,1615
臺中市潭子區嘉仁里,2917,836,1209,872
臺北市松山區民福里,3882,835,1301,1746
臺北市士林區承德里,3484,835,1414,1235
新北市新莊區自立里,3232,835,1447,950
臺中市西屯區何南里,3027,834,1121,1072
臺北市中正區頂東里,3793,833,1446,1514
新北市三重區五華里,3268,833,1481,954
新北市汐止區茄苳里,2746,833,1011,902
臺中市北區金龍里,3094,832,1159,1103
臺北市萬華區雙園里,2944,831,1218,895
桃園市平鎮區北富里,2791,831,1028,932
臺中市南屯區大誠里,2741,831,1041,869
宜蘭縣冬山鄉群英村,3262,831,1606,825
苗栗縣頭份市新華里,2571,830,540,1201
新北市鶯歌區大湖里,3168,829,1194,1145
新北市土城區頂埔里,3027,829,1126,1072
桃園市桃園區中埔里,2539,829,1040,670
臺中市北屯區新平里,2949,829,961,1159
臺南市永康區安康里,3263,829,1514,920
臺北市文山區興福里,3387,828,1147,1412
新北市新莊區立泰里,3142,828,1289,1025
桃園市中壢區中堅里,2659,828,666,1165
苗栗縣苗栗市建功里,2883,828,644,1411
南投縣草屯鎮南埔里,2998,828,1200,970
嘉義縣竹崎鄉灣橋村,3538,828,1562,1148
新北市中和區福祥里,3341,827,1309,1205
新北市汐止區拱北里,2970,827,1086,1057
屏東縣屏東市新生里,3654,827,1653,1174
臺南市永康區塩行里,3482,826,1792,864
臺南市南區建南里,3705,826,1997,882
臺北市士林區天山里,4108,824,1625,1659
彰化縣大村鄉過溝村,2387,823,752,812
臺北市大安區錦華里,3498,822,1225,1451
新北市三芝區埔頭里,3127,822,1094,1211
臺中市北區賴興里,2715,822,882,1011
高雄市鳳山區新強里,3783,822,1859,1102
高雄市小港區店鎮里,3670,821,1901,948
雲林縣北港鎮華勝里,3347,821,1528,998
桃園市蘆竹區上興里,2593,820,996,777
臺中市神岡區新庄里,2837,820,1230,787
彰化縣秀水鄉安東村,2742,820,1032,890
桃園市中壢區中興里,2444,819,672,953
桃園市蘆竹區福興里,2486,819,882,785
臺中市西屯區大河里,2907,819,1248,840
高雄市楠梓區盛昌里,3791,819,1587,1385
臺北市中正區網溪里,3535,818,1309,1408
臺北市士林區天母里,4001,818,1593,1590
桃園市桃園區光興里,3243,818,1412,1013
臺中市大里區大里里,2678,818,1084,776
桃園市大溪區仁文里,2709,817,917,975
彰化縣員林市新生里,2989,817,1147,1025
新北市金山區金美里,3276,816,1397,1063
臺南市安平區華平里,3500,814,1709,977
新竹市北區中雅里,2486,814,654,1018
桃園市中壢區普仁里,2810,813,955,1042
新北市中和區南山里,3376,812,1110,1454
臺北市松山區中華里,3786,811,1391,1584
桃園市中壢區水尾里,2654,811,1010,833
臺南市中西區西賢里,3604,811,1749,1044
苗栗縣苑裡鎮客庄里,2874,811,1181,882
臺北市松山區三民里,4096,810,1532,1754
新北市汐止區東勢里,3352,810,1133,1409
桃園市桃園區中路里,2898,810,1073,1015
桃園市桃園區大樹里,2746,810,1062,874
臺中市南屯區文心里,2839,810,1051,978
臺南市安平區怡平里,2993,810,1376,807
臺北市士林區三玉里,3630,809,1464,1357
高雄市三民區本元里,3608,809,1748,1051
桃園市平鎮區北興里,2828,808,1083,937
基隆市安樂區新崙里,2800,808,956,1036
新北市新莊區和平里,2935,807,1335,793
臺中市太平區中平里,2792,807,1128,857
彰化縣伸港鄉大同村,2152,807,722,623
臺北市大安區民輝里,3938,806,1563,1569
新北市新莊區瓊林里,2973,806,1344,823
新竹縣新豐鄉員山村,2057,806,513,738
苗栗縣銅鑼鄉銅鑼村,2998,806,690,1502
臺北市士林區福順里,3308,805,1589,914
臺北市士林區德華里,3452,805,1526,1121
桃園市八德區竹園里,2498,805,882,811
臺中市北區賴明里,2589,805,873,911
新竹縣竹東鎮仁愛里,2353,805,576,972
彰化縣鹿港鎮東石里,3060,805,1515,740
新北市樹林區樹西里,3282,804,1354,1124
新北市五股區德泰里,2791,804,1099,888
臺中市大甲區義和里,2326,804,799,723
新竹市東區公園里,2301,804,701,796
新北市板橋區湳興里,3197,803,1250,1144
桃園市平鎮區福林里,2532,803,876,853
臺南市新化區太平里,3213,803,1623,787
南投縣竹山鎮中山里,3181,803,1275,1103
新北市中和區自強里,3140,802,1313,1025
新北市新莊區光正里,2655,802,1035,818
桃園市桃園區會稽里,2616,802,852,962
高雄市鳳山區瑞興里,3314,802,1326,1186
新北市新店區中央里,4003,801,1149,2053
桃園市楊梅區大同里,2571,801,760,1010
臺中市北區頂厝里,2934,801,1096,1037
新竹縣關西鎮東安里,2579,801,666,1112
彰化縣溪湖鎮大突里,2472,801,783,888
新北市中和區佳和里,3193,800,1147,1246
桃園市中壢區普義里,2856,800,889,1167
新竹縣湖口鄉長嶺村,2198,800,539,859
臺北市大安區黎元里,3379,799,1225,1355
新北市板橋區龍翠里,3192,799,1448,945
新北市新莊區立言里,3123,799,1323,1001
新北市新店區永安里,3168,799,1070,1299
桃園市龍潭區佳安里,2589,799,659,1131
新竹市東區新光里,2410,799,896,715
臺北市北投區大同里,3395,798,1519,1078
臺北市北投區稻香里,3403,798,1274,1331
桃園市八德區大湳里,2767,798,1130,839
臺中市南屯區新生里,2428,798,929,701
臺中市龍井區竹坑里,2275,798,758,719
高雄市鳳山區忠孝里,3856,798,1707,1351
苗栗縣竹南鎮佳興里,2351,798,766,787
臺中市北屯區忠平里,2781,797,854,1130
臺南市北區和順里,3457,797,1668,992
臺北市中山區中吉里,3411,796,1543,1072
臺北市文山區興邦里,3190,796,820,1574
新北市三重區福隆里,2768,796,1210,762
新北市淡水區新民里,2977,796,1091,1090
臺北市南港區西新里,2852,795,1189,868
新北市汐止區城中里,3030,795,1040,1195
新北市淡水區民權里,3261,794,1279,1188
基隆市信義區東信里,2959,794,919,1246
新北市汐止區智慧里,3082,793,1040,1249
新北市新店區江陵里,3628,792,1098,1738
桃園市龜山區楓福里,2521,792,913,816
高雄市大社區神農里,3380,792,1766,822
新竹縣竹北市福德里,2334,792,648,894
臺北市大安區光武里,4270,791,1670,1809
臺北市中山區新喜里,3075,791,1342,942
新北市蘆洲區延平里,2658,791,1211,656
彰化縣彰化市西勢里,2673,791,945,937
新北市永和區中溪里,3191,790,1097,1304
新北市汐止區白雲里,2943,790,1077,1076
臺中市西屯區何德里,2699,790,1056,853
臺中市后里區后里里,2687,790,947,950
臺北市北投區吉慶里,3198,789,1419,990
新北市樹林區獇寮里,2918,789,1306,823
新北市汐止區秀山里,2993,789,1044,1160
臺中市東區東南里,2702,789,1010,903
臺中市后里區墩北里,2572,789,963,820
臺中市大里區樹王里,2662,789,1167,706
新北市泰山區楓樹里,2701,788,1043,870
臺南市北區華德里,2790,788,1306,696
花蓮縣花蓮市國富里,3272,788,920,1564
新竹市北區水田里,2370,788,839,743
桃園市平鎮區新勢里,2648,787,927,934
新北市新店區寶興里,3686,786,1135,1765
新北市淡水區正德里,2925,786,1013,1126
臺北市中山區朱馥里,3385,785,1328,1272
臺北市大同區保安里,2880,785,1310,785
新北市中和區景安里,3256,785,1043,1428
新北市新店區吉祥里,3036,785,746,1505
桃園市蘆竹區上竹里,2555,785,1031,739
臺中市外埔區水美里,2433,785,788,860
臺北市大安區錦安里,3519,784,1350,1385
臺北市大同區斯文里,3027,784,1432,811
高雄市楠梓區裕昌里,3199,784,1473,942
嘉義市西區福全里,2866,784,1234,848
臺中市后里區眉山里,2378,783,774,821
臺南市北區成功里,3285,783,1674,828
新竹縣竹東鎮東寧里,2319,783,492,1044
新北市新店區新生里,3798,782,1130,1886
臺南市仁德區成功里,3465,782,1405,1278
高雄市楠梓區惠民里,3123,782,1507,834
花蓮縣吉安鄉南昌村,2773,782,605,1386
苗栗縣苗栗市勝利里,2755,781,659,1315
新北市蘆洲區光明里,2872,780,1303,789
桃園市中壢區華愛里,2505,780,703,1022
桃園市楊梅區仁美里,2779,780,902,1097
屏東縣屏東市豐年里,3540,780,1369,1391
臺北市大同區永樂里,3131,779,1529,823
新北市新莊區民有里,2571,779,1027,765
桃園市楊梅區新榮里,2496,779,922,795
臺南市東區崇德里,3205,779,1381,1045
臺南市東區文聖里,3161,779,1369,1013
高雄市小港區廈莊里,2848,779,1371,698
新竹縣新豐鄉中崙村,2146,779,566,801
雲林縣斗六市明德里,2720,779,1035,906
桃園市蘆竹區中山里,2422,778,879,765
苗栗縣三義鄉廣盛村,2696,778,606,1312
桃園市龜山區新嶺里,2578,777,1010,791
桃園市八德區高明里,2578,777,982,819
宜蘭縣五結鄉大吉村,2672,777,1208,687
臺北市北投區石牌里,3214,776,1382,1056
新北市中和區內南里,3063,776,966,1321
臺南市南區金華里,3402,776,1766,860
南投縣名間鄉新街村,2948,776,1284,888
新北市新莊區光榮里,2709,775,1076,858
臺中市太平區光明里,2608,775,847,986
臺北市萬華區銘德里,2817,774,1178,865
臺北市北投區永明里,3004,774,1132,1098
新北市新莊區合鳳里,2695,774,1145,776
臺北市中山區晴光里,3269,773,1242,1254
新北市板橋區香社里,2957,773,1288,896
新北市中和區安穗里,2870,772,1141,957
苗栗縣竹南鎮照南里,2480,772,869,839
屏東縣屏東市華山里,3449,772,1361,1316
臺北市大安區福住里,3547,771,1414,1362
新北市三重區博愛里,2869,771,1211,887
新北市中和區華南里,3188,771,866,1551
新北市板橋區福德里,3174,770,1287,1117
桃園市楊梅區高榮里,2560,770,996,794
桃園市蘆竹區吉祥里,2799,770,986,1043
臺南市安南區淵西里,2656,770,1357,529
彰化縣彰化市東芳里,2462,770,928,764
彰化縣員林市萬年里,2715,770,981,964
嘉義縣水上鄉水上村,2828,770,1213,845
桃園市龍潭區凌雲里,2517,769,788,960
臺中市梧棲區中正里,2618,769,981,868
嘉義市東區太平里,2982,769,1112,1101
嘉義市西區保福里,2542,769,1020,753
新北市三重區永德里,2934,768,1358,808
新北市中和區文元里,3197,768,1337,1092
新北市土城區員信里,2743,768,1010,965
桃園市楊梅區瑞原里,2519,768,876,875
高雄市三民區安吉里,3177,768,1505,904
南投縣草屯鎮新豐里,2919,768,1169,982
屏東縣屏東市潭墘里,3508,768,1251,1489
臺北市文山區景美里,3104,767,1073,1264
新北市中和區秀明里,3165,767,794,1604
新北市五股區集賢里,2671,767,1188,716
屏東縣潮州鎮光華里,3102,767,1354,981
臺北市內湖區內溝里,2935,766,1116,1053
新北市樹林區金寮里,2679,766,1122,791
臺南市新營區民榮里,2965,766,1370,829
臺南市歸仁區南興里,3108,766,1576,766
新竹縣關西鎮北斗里,2560,766,694,1100
新北市板橋區和平里,2603,765,871,967
高雄市苓雅區正大里,3335,765,1538,1032
臺北市北投區八仙里,3302,764,1401,1137
新北市中和區外南里,2851,764,979,1108
新北市新莊區四維里,2691,764,1203,724
雲林縣莿桐鄉莿桐村,2910,764,1371,775
臺北市中山區恆安里,3089,763,1204,1122
臺北市萬華區糖廍里,3347,763,1505,1079
新北市中和區明穗里,2855,763,1144,948
桃園市蘆竹區蘆竹里,2850,763,1400,687
高雄市鳳山區瑞竹里,3605,763,1601,1241
臺北市萬華區福星里,3127,762,1102,1263
新北市板橋區江翠里,3246,762,1499,985
桃園市蘆竹區營福里,2314,762,815,737
臺中市潭子區聚興里,2818,762,1116,940
高雄市楠梓區惠豐里,3229,762,1377,1090
雲林縣麥寮鄉施厝村,2230,762,863,605
臺北市信義區雅祥里,3104,761,1207,1136
新北市新莊區全泰里,3179,761,1226,1192
高雄市岡山區後紅里,2916,761,1207,948
宜蘭縣三星鄉大隱村,2981,761,1462,758
彰化縣和美鎮柑井里,2417,761,901,755
嘉義市西區新厝里,3017,761,1499,757
桃園市桃園區忠義里,2440,760,793,887
桃園市桃園區福安里,2927,760,1148,1019
桃園市中壢區新明里,2638,760,1047,831
高雄市大樹區九曲里,3430,760,1687,983
新竹市東區水源里,2360,760,978,622
新北市中和區嘉慶里,2639,759,1023,857
臺中市東區東橋里,2696,759,1265,672
臺北市中山區力行里,3730,758,1639,1333
臺北市松山區莊敬里,3136,757,1081,1298
臺北市大同區蓬萊里,3058,757,1380,921
臺北市南港區玉成里,2953,757,1197,999
桃園市中壢區山東里,2757,757,1402,598
桃園市龜山區嶺頂里,2646,757,1152,737
高雄市鳳山區福興里,3776,757,2022,997
高雄市路竹區社南里,3269,757,1582,930
彰化縣溪湖鎮東寮里,2475,757,807,911
屏東縣屏東市清溪里,2877,757,1164,956
臺北市萬華區壽德里,2984,756,1223,1005
臺北市士林區舊佳里,3679,756,1609,1314
高雄市前鎮區明正里,3425,756,1866,803
彰化縣埔心鄉東門村,2557,756,983,818
基隆市七堵區堵北里,2511,756,945,810
新北市三重區仁華里,2785,755,1194,836
新北市土城區復興里,2821,755,1118,948
嘉義市東區興村里,2768,755,1114,899
臺北市中山區成功里,3781,754,1561,1466
桃園市中壢區新興里,2654,754,950,950
桃園市楊梅區雙榮里,2497,753,883,861
桃園市龍潭區龍祥里,2403,753,696,954
宜蘭縣冬山鄉清溝村,2797,753,1323,721
苗栗縣苗栗市嘉盛里,2433,753,546,1134
彰化縣彰化市磚磘里,2327,753,817,757
桃園市八德區大安里,2525,752,1050,723
彰化縣彰化市萬安里,2698,752,1020,926
新竹市北區光華里,2474,752,878,844
新北市新莊區中和里,2897,751,1274,872
新北市淡水區學府里,2812,751,986,1075
彰化縣彰化市香山里,2389,751,907,731
臺北市信義區四育里,3458,750,1468,1240
新北市板橋區大豐里,2906,750,1134,1022
新北市新莊區中泰里,2675,750,1221,704
新北市蘆洲區中路里,2621,750,1130,741
花蓮縣花蓮市國興里,2869,750,725,1394
臺中市太平區福隆里,2516,749,952,815
臺南市東區富強里,3173,749,1581,843
臺南市安南區溪頂里,3086,749,1627,710
新竹縣寶山鄉雙溪村,1905,749,524,632
苗栗縣頭份市中興里,2020,749,510,761
臺南市南區文南里,3571,748,1833,990
高雄市鳳山區忠義里,3194,748,1386,1060
嘉義市西區港坪里,2556,748,1036,772
臺北市信義區五全里,3055,747,1282,1026
新北市中和區復興里,3154,747,1050,1357
新北市土城區永豐里,2765,747,997,1021
臺北市大同區國慶里,2899,746,1339,814
新北市汐止區橫科里,3009,746,1134,1129
雲林縣虎尾鎮新吉里,2722,746,1086,890
新北市板橋區福丘里,3084,745,1120,1219
新北市中和區福美里,2885,745,1039,1101
臺中市北區立人里,2572,745,836,991
臺中市南屯區黎明里,2989,745,970,1274
新竹縣新埔鎮四座里,2296,745,737,814
臺北市中正區林興里,2926,744,949,1233
臺北市中正區龍福里,2944,744,1101,1099
臺北市萬華區忠德里,2768,744,1191,833
屏東縣九如鄉東寧村,3346,744,1853,749
臺南市北區大光里,3273,743,1100,1430
高雄市鳳山區鎮西里,3349,743,1594,1012
新北市五股區興珍里,2947,742,1462,743
臺中市大甲區新美里,2377,742,880,755
新竹縣竹北市東海里,2129,742,504,883
新北市新莊區昌信里,2422,741,1006,675
新北市樹林區圳福里,2670,741,1094,835
桃園市桃園區成功里,2821,741,1069,1011
桃園市中壢區自治里,2615,741,510,1364
新竹縣湖口鄉鳳山村,2177,741,468,968
臺北市文山區樟樹里,2846,740,932,1174
新北市板橋區莊敬里,2731,740,1099,892
高雄市三民區灣中里,3446,740,1775,931
花蓮縣新城鄉嘉里村,2411,740,510,1161
新北市永和區永元里,2949,739,983,1227
新北市新莊區化成里,2572,739,1109,724
桃園市八德區陸光里,2922,739,486,1697
高雄市前鎮區忠純里,3710,739,1016,1955
臺北市文山區興豐里,3076,738,1000,1338
新北市板橋區明翠里,2980,738,1338,904
新北市樹林區三興里,2672,738,1141,793
嘉義縣梅山鄉梅北村,2979,738,1357,884
新北市板橋區僑中里,2629,737,1123,769
新北市永和區下溪里,2958,737,989,1232
臺中市后里區墩南里,2496,737,999,760
彰化縣二林鎮後厝里,2368,737,734,897
新北市中和區秀福里,3138,736,1081,1321
彰化縣花壇鄉文德村,2273,736,812,725
臺北市文山區萬年里,3300,735,1164,1401
新北市新店區寶安里,3534,735,1024,1775
臺南市北區成德里,3141,735,1546,860
彰化縣彰化市西興里,2418,735,911,772
臺北市士林區東山里,3139,734,1043,1362
新北市永和區保平里,3055,734,1104,1217
嘉義市東區圳頭里,3040,734,1082,1224
彰化縣伸港鄉七嘉村,2184,733,739,712
彰化縣花壇鄉花壇村,2342,733,825,784
桃園市中壢區中原里,2582,732,854,996
桃園市中壢區五福里,2577,732,1032,813
澎湖縣馬公市朝陽里,2936,732,1072,1132
臺北市信義區四維里,3179,731,1122,1326
新北市板橋區埤墘里,2719,731,1165,823
新北市三重區光田里,2965,731,1272,962
桃園市中壢區自強里,2482,731,659,1092
臺南市善化區坐駕里,2767,731,1316,720
高雄市左營區海勝里,3827,731,676,2420
基隆市七堵區實踐里,2533,731,934,868
基隆市中山區德安里,2599,731,938,930
臺北市萬華區興德里,2643,730,1146,767
新北市板橋區長安里,2736,730,1158,848
苗栗縣頭份市頭份里,2283,730,552,1001
苗栗縣公館鄉館南村,2367,730,603,1034
新北市樹林區光興里,2513,729,1052,732
桃園市楊梅區中山里,2303,729,703,871
臺中市大雅區雅楓里,2404,729,839,836
臺南市佳里區建南里,2977,729,1515,733
高雄市三民區寶盛里,3373,729,1605,1039
彰化縣福興鄉福興村,2543,729,1080,734
嘉義市東區後庄里,2842,729,1089,1024
新北市土城區日新里,2899,728,1194,977
桃園市龜山區龍華里,2461,728,1007,726
臺南市南區府南里,3309,728,1687,894
高雄市三民區寶德里,3352,728,1688,936
彰化縣員林市三愛里,2250,728,798,724
嘉義市東區興安里,2394,728,961,705
臺北市萬華區柳鄉里,2975,727,1365,883
臺中市清水區武鹿里,2542,727,1104,711
臺北市中山區正義里,3093,726,1176,1191
臺北市萬華區仁德里,2956,726,1236,994
臺中市東區富仁里,2785,726,711,1348
臺南市南區省躬里,2839,726,1586,527
基隆市安樂區六合里,2735,726,871,1138
臺北市士林區明勝里,3000,725,1291,984
新北市板橋區民族里,2885,725,1159,1001
新北市中和區忠孝里,2861,725,759,1377
新北市永和區秀和里,3115,725,1042,1348
臺中市北區賴福里,2859,725,1121,1013
臺中市西屯區林厝里,2496,725,937,834
新竹市東區光復里,2138,725,785,628
臺北市信義區敦厚里,3039,724,1127,1188
臺北市中山區行孝里,2724,724,1155,845
臺北市南港區聯成里,3016,724,1109,1183
新北市汐止區秀峰里,2581,724,994,863
臺中市南區福興里,2801,724,1157,920
臺中市西區民龍里,2532,724,921,887
臺中市西屯區福中里,2318,724,839,755
高雄市阿蓮區阿蓮里,3204,724,1709,771
嘉義縣朴子市竹圍里,3032,724,1315,993
新北市板橋區堂春里,2574,723,1077,774
新北市中和區壽德里,2946,723,779,1444
桃園市八德區大明里,2520,723,1028,769
臺中市北區賴村里,3042,723,1320,999
新北市土城區青雲里,2298,722,869,707
新北市蘆洲區保新里,2457,722,1015,720
高雄市三民區寶珠里,3477,722,1746,1009
新北市泰山區同榮里,2704,721,1035,948
桃園市蘆竹區瓦窯里,2386,721,804,861
臺中市西屯區福安里,2264,721,796,747
高雄市鳳山區中榮里,3033,721,1399,913
屏東縣屏東市中正里,3092,721,1190,1181
花蓮縣花蓮市國裕里,2847,721,729,1397
臺北市內湖區瑞光里,2855,720,861,1274
桃園市桃園區長安里,2507,720,1053,734
宜蘭縣礁溪鄉德陽村,2736,720,1048,968
臺北市萬華區富福里,2938,719,1330,889
臺北市松山區鵬程里,3038,718,993,1327
桃園市龍潭區建林里,2679,718,621,1340
高雄市三民區本安里,3053,718,1405,930
高雄市大社區大社里,3327,718,1784,825
苗栗縣頭份市忠孝里,2207,718,476,1013
新北市三重區田心里,2667,717,1241,709
新北市永和區潭安里,2968,717,855,1396
新北市樹林區樹南里,2604,717,1052,835
新北市鶯歌區鳳祥里,2568,717,1067,784
桃園市蘆竹區南榮里,2592,717,1049,826
宜蘭縣五結鄉成興村,2305,717,1152,436
臺南市東區東光里,3383,716,1499,1168
苗栗縣竹南鎮竹興里,2179,716,693,770
臺北市北投區尊賢里,2940,715,1363,862
桃園市大溪區仁美里,2374,715,802,857
臺中市西屯區福聯里,2199,715,770,714
臺南市安南區鳳凰里,2928,715,1463,750
彰化縣彰化市大竹里,2326,715,850,761
臺北市中山區新庄里,3012,714,1303,995
臺北市文山區興業里,3311,714,939,1658
新北市中和區秀山里,2935,714,937,1284
新北市中和區崇南里,2873,714,829,1330
臺南市安南區梅花里,2824,714,1469,641
臺北市信義區興雅里,3302,713,1248,1341
新北市新莊區全安里,2871,713,1276,882
桃園市八德區福德里,1988,713,648,627
南投縣草屯鎮明正里,2528,713,857,958
新北市新莊區富民里,2437,712,1012,713
臺中市大雅區秀山里,2472,712,1023,737
臺南市北區文元里,2480,712,1194,574
高雄市鳳山區新樂里,3001,712,1422,867
高雄市鳥松區夢裡里,3593,712,1737,1144
臺北市大同區建功里,2865,711,1311,843
桃園市大溪區瑞源里,2610,711,1050,849
臺南市中西區西和里,2964,711,1459,794
花蓮縣吉安鄉宜昌村,2678,711,712,1255
新北市三重區幸福里,2809,710,1266,833
桃園市蘆竹區南崁里,2688,710,1044,934
桃園市龍潭區上華里,2318,710,659,949
臺中市太平區中政里,2424,710,974,740
臺南市安南區安西里,2751,710,1466,575
新竹市香山區大庄里,2111,710,869,532
臺北市士林區前港里,2686,709,1211,766
花蓮縣玉里鎮中城里,3091,709,837,1545
