村里,總統票總數,柯文哲,賴清德,侯友宜,立委票總數,小民參政歐巴桑聯盟,台灣綠黨,臺灣雙語無法黨,台灣基進,中華統一促進黨,民主進步黨,制度救世島,時代力量,中國國民黨,司法改革黨,新黨,台灣民眾黨,台灣維新,親民黨,人民最大黨,台灣團結聯盟
澎湖縣馬公市復興里,244,88,80,76,241,2,0,3,1,0,72,0,7,78,1,3,71,0,2,0,1
澎湖縣馬公市光華里,601,272,147,182,596,6,10,4,2,2,140,1,15,192,5,3,209,1,4,1,1
澎湖縣馬公市五德里,262,119,72,71,253,4,2,0,1,0,61,0,10,81,2,0,92,0,0,0,0
澎湖縣馬公市桶盤里,150,56,48,46,143,0,2,1,0,0,52,0,3,44,0,1,39,0,1,0,0
澎湖縣湖西鄉西溪村,431,165,143,123,415,5,5,1,0,1,129,0,6,131,0,1,128,3,2,2,1
新竹市東區公園里,2301,804,701,796,2281,31,17,7,15,2,598,1,114,790,5,5,671,0,20,1,4
新竹市東區振興里,3936,1333,1326,1277,3900,37,29,15,23,5,1149,6,165,1258,12,17,1146,3,26,4,5
新竹市東區東園里,4511,1690,1562,1259,4476,52,46,14,32,0,1237,6,318,1219,7,15,1509,0,17,0,4
新竹市東區東勢里,3143,1318,1084,741,3134,43,26,11,11,2,867,2,217,760,13,5,1164,1,8,0,4
新竹市東區綠水里,4655,1600,1489,1566,4633,40,47,13,29,5,1200,5,279,1519,11,18,1426,1,23,6,11
新竹市東區仙宮里,905,307,292,306,902,7,9,3,6,2,249,1,46,300,0,2,266,1,8,0,2
新竹市東區千甲里,1469,541,433,495,1440,11,8,2,6,1,388,5,47,514,7,1,435,1,7,4,3
新竹市東區埔頂里,5723,2696,1776,1251,5692,71,52,18,20,6,1411,7,406,1246,16,6,2407,1,18,2,5
新竹市東區龍山里,7472,3188,2398,1886,7441,85,64,23,34,4,1850,3,547,1850,11,24,2908,6,24,1,7
新竹市東區新莊里,3797,1415,1160,1222,3772,32,37,14,24,3,938,3,192,1240,11,12,1239,3,16,3,5
新竹市東區仙水里,3380,1259,1042,1079,3365,42,31,6,15,5,843,7,209,1058,10,15,1090,0,18,7,9
新竹市東區金山里,3820,1468,1045,1307,3785,40,28,10,17,8,856,4,201,1309,9,15,1263,2,14,2,7
新竹市東區關東里,3500,1279,1012,1209,3449,41,31,13,13,7,810,9,178,1245,13,12,1043,1,24,6,3
新竹市東區錦華里,1395,472,462,461,1383,11,6,4,8,1,377,0,68,486,2,4,401,2,8,1,4
新竹市東區明湖里,3352,1303,1004,1045,3353,23,33,8,21,5,841,3,194,1095,12,9,1076,1,22,2,8
新竹市東區關新里,3186,1230,1137,819,3169,46,28,9,17,1,860,1,263,765,3,5,1149,1,16,0,5
新竹市北區舊社里,4349,1503,1485,1361,4312,61,33,10,23,11,1301,8,163,1402,14,12,1237,3,24,2,8
新竹市北區中寮里,2798,1134,935,729,2758,32,40,6,8,5,826,3,106,782,14,7,912,1,13,2,1
新竹市北區海濱里,3198,1286,1075,837,3163,28,36,7,11,3,952,7,126,884,5,7,1058,4,18,8,9
新竹市北區大鵬里,129,75,23,31,129,0,0,0,2,0,21,1,5,39,1,0,57,1,2,0,0
新竹市北區金竹里,4243,1506,1367,1370,4197,43,28,7,21,3,1185,7,185,1397,8,11,1270,2,22,6,2
新竹市北區湳中里,5108,1775,1612,1721,5072,49,53,10,33,2,1370,6,268,1701,13,12,1520,1,21,2,11
新竹市北區金雅里,2901,1158,987,756,2875,39,17,5,18,3,832,6,176,766,9,4,971,5,14,0,10
新竹市香山區牛埔里,3307,1220,1121,966,3284,31,18,5,11,7,972,6,129,1011,10,10,1041,4,16,2,11
新竹市香山區香村里,2644,929,869,846,2616,23,25,12,11,2,728,7,109,886,15,9,766,3,10,3,7
新竹市香山區海山里,1694,579,567,548,1665,9,14,3,6,4,501,7,80,567,4,13,433,5,7,5,7
新竹市香山區茄苳里,660,226,221,213,648,6,5,1,2,3,194,2,24,212,4,5,174,1,7,1,7
新竹市香山區中隘里,1283,466,394,423,1268,8,9,3,6,3,324,5,64,446,3,5,379,2,5,1,5
新竹市香山區頂福里,3250,1192,1129,929,3226,17,28,11,12,7,997,4,162,976,12,9,963,1,13,3,11
嘉義市西區各里平地、山地原住民,220,96,60,64,220,3,1,0,2,1,59,0,3,69,0,1,79,0,1,1,0
