city-town,zone,code,areas,name,party
新竹縣寶山鄉,新竹縣寶山鄉第03選區,10004100-03,深井村/寶斗村,,
新竹縣寶山鄉,新竹縣寶山鄉第04選區,10004100-04,山湖村/寶山村/油田村,,
新竹縣峨眉鄉,新竹縣峨眉鄉第01選區,10004110-01,峨眉村/中盛村/七星村,,
新竹縣峨眉鄉,新竹縣峨眉鄉第02選區,10004110-02,湖光村/石井村/富興村,,
新竹縣尖石鄉,新竹縣尖石鄉第01選區,10004120-01,嘉樂村/新樂村,,
新竹縣尖石鄉,新竹縣尖石鄉第02選區,10004120-02,錦屏村/義興村/梅花村,,
新竹縣尖石鄉,新竹縣尖石鄉第03選區,10004120-03,玉峰村/秀巒村,,
新竹縣五峰鄉,新竹縣五峰鄉第01選區,10004130-01,大隘村,,
新竹縣五峰鄉,新竹縣五峰鄉第02選區,10004130-02,桃山村,,
新竹縣五峰鄉,新竹縣五峰鄉第03選區,10004130-03,花園村/竹林村,,
苗栗縣苗栗市,苗栗縣苗栗市第01選區,10005010-01,玉清里/玉華里/維新里/維祥里/中苗里/青苗里,,
苗栗縣苗栗市,苗栗縣苗栗市第02選區,10005010-02,水源里/玉苗里/大同里/新苗里/勝利里/恭敬里/綠苗里/高苗里,,
苗栗縣苗栗市,苗栗縣苗栗市第03選區,10005010-03,嘉新里/福安里/上苗里/北苗里/清華里/嘉盛里/福星里,,
苗栗縣苗栗市,苗栗縣苗栗市第04選區,10005010-04,新川里/文山里/南勢里/文聖里/福麗里/新英里/建功里,,
苗栗縣苑裡鎮,苗栗縣苑裡鎮第01選區,10005020-01,苑北里/西平里/苑港里/西勢里/苑東里/苑南里/海岸里/房裡里/客庄里/中正里/苑坑里/水坡里/新復里,,
苗栗縣苑裡鎮,苗栗縣苑裡鎮第02選區,10005020-02,南勢里/山脚里/舊社里/福田里/石鎮里/蕉埔里,,
苗栗縣苑裡鎮,苗栗縣苑裡鎮第03選區,10005020-03,泰田里/田心里/上舘里/玉田里/山柑里/社苓里,,
苗栗縣通霄鎮,苗栗縣通霄鎮第01選區,10005030-01,平安里/通西里/平元里/梅南里/圳頭里/通東里/通南里,,
苗栗縣通霄鎮,苗栗縣通霄鎮第02選區,10005030-02,內湖里/楓樹里/烏眉里/福龍里/福源里,,
苗栗縣通霄鎮,苗栗縣通霄鎮第03選區,10005030-03,五北里/福興里/坪頂里/五南里/城北里/城南里/南和里,,
苗栗縣通霄鎮,苗栗縣通霄鎮第04選區,10005030-04,新埔里/內島里/白東里/白西里/通灣里,,
苗栗縣竹南鎮,苗栗縣竹南鎮第01選區,10005040-01,竹南里/照南里/正南里/新南里/大厝里,,
苗栗縣竹南鎮,苗栗縣竹南鎮第02選區,10005040-02,龍鳳里/營盤里/聖福里/竹興里/佳興里/天文里/龍山里/山佳里,,
苗栗縣竹南鎮,苗栗縣竹南鎮第03選區,10005040-03,中華里/中英里/中美里/開元里/中港里/海口里/港墘里/公舘里,,
苗栗縣竹南鎮,苗栗縣竹南鎮第04選區,10005040-04,頂埔里/崎頂里/公義里/大埔里,,
苗栗縣頭份市,苗栗縣頭份市第01選區,10005050-01,流東里/珊湖里/斗煥里/新華里/興隆里,,
苗栗縣頭份市,苗栗縣頭份市第02選區,10005050-02,上興里/下興里/信義里/和平里/仁愛里/自強里/頭份里/忠孝里/上埔里/土牛里,,
苗栗縣頭份市,苗栗縣頭份市第03選區,10005050-03,建國里/成功里/後庄里/山下里/蟠桃里/中興里/合興里/文化里,,
苗栗縣頭份市,苗栗縣頭份市第04選區,10005050-04,民權里/民族里/東庄里/田寮里,,
苗栗縣頭份市,苗栗縣頭份市第05選區,10005050-05,尖山里/尖下里/廣興里/濫坑里/民生里/蘆竹里,,
苗栗縣後龍鎮,苗栗縣後龍鎮第01選區,10005060-01,東明里/灣寶里/海寶里/南龍里/中龍里/北龍里/大庄里,,
苗栗縣後龍鎮,苗栗縣後龍鎮第02選區,10005060-02,復興里/校椅里/埔頂里/新民里/豐富里,,
苗栗縣後龍鎮,苗栗縣後龍鎮第03選區,10005060-03,大山里/水尾里/外埔里/海埔里/秀水里/溪洲里,,
苗栗縣後龍鎮,苗栗縣後龍鎮第04選區,10005060-04,福寧里/中和里/南港里/龍坑里/龍津里,,
苗栗縣卓蘭鎮,苗栗縣卓蘭鎮第01選區,10005070-01,中街里/老庄里/新榮里/新厝里,,
苗栗縣卓蘭鎮,苗栗縣卓蘭鎮第02選區,10005070-02,苗豐里/豐田里/西坪里,,
苗栗縣卓蘭鎮,苗栗縣卓蘭鎮第03選區,10005070-03,內灣里/上新里,,
苗栗縣卓蘭鎮,苗栗縣卓蘭鎮第04選區,10005070-04,坪林里/景山里,,
苗栗縣大湖鄉,苗栗縣大湖鄉第01選區,10005080-01,大寮村/大湖村/明湖村,,
苗栗縣大湖鄉,苗栗縣大湖鄉第02選區,10005080-02,大南村/靜湖村/富興村,,
苗栗縣大湖鄉,苗栗縣大湖鄉第03選區,10005080-03,南湖村/東興村/武榮村,,
苗栗縣大湖鄉,苗栗縣大湖鄉第04選區,10005080-04,義和村/栗林村/新開村,,
苗栗縣公館鄉,苗栗縣公館鄉第01選區,10005090-01,大坑村/中義村/玉泉村/館中村/館東村/館南村,,
苗栗縣公館鄉,苗栗縣公館鄉第02選區,10005090-02,福基村/福星村/開礦村/福德村/石墻村,,
苗栗縣公館鄉,苗栗縣公館鄉第03選區,10005090-03,北河村/鶴山村/仁安村/尖山村/南河村/五谷村/玉谷村/鶴岡村,,
苗栗縣銅鑼鄉,苗栗縣銅鑼鄉第01選區,10005100-01,銅鑼村,,
苗栗縣銅鑼鄉,苗栗縣銅鑼鄉第02選區,10005100-02,樟樹村/九湖村,,
苗栗縣銅鑼鄉,苗栗縣銅鑼鄉第03選區,10005100-03,福興村/竹森村/朝陽村,,
苗栗縣銅鑼鄉,苗栗縣銅鑼鄉第04選區,10005100-04,中平村,,
苗栗縣銅鑼鄉,苗栗縣銅鑼鄉第05選區,10005100-05,新隆村/興隆村/盛隆村,,
苗栗縣南庄鄉,苗栗縣南庄鄉第01選區,10005110-01,蓬萊村/東村/西村/南江村/東河村,,
苗栗縣南庄鄉,苗栗縣南庄鄉第02選區,10005110-02,獅山村/田美村,,
苗栗縣南庄鄉,苗栗縣南庄鄉第03選區,10005110-03,南富村/員林村,,
苗栗縣頭屋鄉,苗栗縣頭屋鄉第01選區,10005120-01,獅潭村/頭屋村/北坑村,,
苗栗縣頭屋鄉,苗栗縣頭屋鄉第02選區,10005120-02,曲洞村/飛鳳村,,
苗栗縣頭屋鄉,苗栗縣頭屋鄉第03選區,10005120-03,象山村,,
苗栗縣頭屋鄉,苗栗縣頭屋鄉第04選區,10005120-04,明德村,,
苗栗縣頭屋鄉,苗栗縣頭屋鄉第05選區,10005120-05,鳴鳳村,,
苗栗縣三義鄉,苗栗縣三義鄉第01選區,10005130-01,廣盛村,,
苗栗縣三義鄉,苗栗縣三義鄉第02選區,10005130-02,勝興村/龍騰村,,
苗栗縣三義鄉,苗栗縣三義鄉第03選區,10005130-03,双潭村/双湖村,,
苗栗縣三義鄉,苗栗縣三義鄉第04選區,10005130-04,西湖村/鯉魚潭村,,
苗栗縣西湖鄉,苗栗縣西湖鄉第01選區,10005140-01,下埔村/五湖村/四湖村/高埔村,,
苗栗縣西湖鄉,苗栗縣西湖鄉第02選區,10005140-02,金獅村/龍洞村/三湖村/湖東村/二湖村,,
苗栗縣造橋鄉,苗栗縣造橋鄉第01選區,10005150-01,造橋村,,
苗栗縣造橋鄉,苗栗縣造橋鄉第02選區,10005150-02,平興村/豐湖村,,
苗栗縣造橋鄉,苗栗縣造橋鄉第03選區,10005150-03,大西村/錦水村/大龍村,,
苗栗縣造橋鄉,苗栗縣造橋鄉第04選區,10005150-04,龍昇村/朝陽村/談文村,,
苗栗縣三灣鄉,苗栗縣三灣鄉第01選區,10005160-01,三灣村/內灣村/銅鏡村,,
苗栗縣三灣鄉,苗栗縣三灣鄉第02選區,10005160-02,頂寮村/北埔村,,
苗栗縣三灣鄉,苗栗縣三灣鄉第03選區,10005160-03,永和村/大河村/大坪村,,
苗栗縣獅潭鄉,苗栗縣獅潭鄉第01選區,10005170-01,百壽村/永興村/新店村,,
苗栗縣獅潭鄉,苗栗縣獅潭鄉第02選區,10005170-02,和興村/豐林村,,
苗栗縣獅潭鄉,苗栗縣獅潭鄉第03選區,10005170-03,竹木村/新豐村,,
苗栗縣泰安鄉,苗栗縣泰安鄉第01選區,10005180-01,八卦村/錦水村,,
苗栗縣泰安鄉,苗栗縣泰安鄉第02選區,10005180-02,清安村/大興村/中興村,,
苗栗縣泰安鄉,苗栗縣泰安鄉第03選區,10005180-03,梅園村/象鼻村/士林村,,
彰化縣彰化市,彰化縣彰化市第01選區,10007010-01,成功里/延和里/介壽里/延平里/建寶里/福安里/南興里/西安里/彰安里/光南里/大同里/永生里/華陽里/華北里/桃源里/東興里/南瑶里,,
彰化縣彰化市,彰化縣彰化市第02選區,10007010-02,崙平里/向陽里/五權里/長樂里/東芳里/南安里/西興里/西勢里/忠孝里/忠權里/南美里/莿桐里/萬壽里/中央里/富貴里/民權里/磚[磘]里/平和里,,
彰化縣彰化市,彰化縣彰化市第03選區,10007010-03,下廍里/興北里/信義里/民生里/文化里/陽明里/萬安里/新興里/新華里/永福里/光復里/光華里/龍山里/中山里/中正里/卦山里,,
彰化縣彰化市,彰化縣彰化市第04選區,10007010-04,茄苳里/茄南里/阿夷里/古夷里/竹巷里/田中里/復興里/和調里/石牌里/福田里/大竹里/竹中里/安溪里/三村里/國聖里/寶廍里/香山里/牛埔里/福山里/中庄里/台鳳里/快官里,,
彰化縣鹿港鎮,彰化縣鹿港鎮第01選區,10007020-01,永安里/新宮里/玉順里/大有里/中興里/洛津里/順興里/郭厝里/埔崙里/東石里,,
彰化縣鹿港鎮,彰化縣鹿港鎮第02選區,10007020-02,景福里/泰興里/長興里/龍山里/興化里/菜園里/街尾里,,
彰化縣鹿港鎮,彰化縣鹿港鎮第03選區,10007020-03,草中里/頭南里/山崙里/海埔里/詔安里/洋厝里,,
彰化縣鹿港鎮,彰化縣鹿港鎮第04選區,10007020-04,頭崙里/廖厝里/溝墘里/頂番里/鹿和里/鹿東里/頂厝里/東崎里,,
彰化縣和美鎮,彰化縣和美鎮第01選區,10007030-01,竹營里/和東里/和南里/面前里/和北里/和西里/四張里/頭前里,,
彰化縣和美鎮,彰化縣和美鎮第02選區,10007030-02,大霞里/源埤里/南佃里/雅溝里/鎮平里/山犁里/嘉犁里/詔安里/仁愛里,,
彰化縣和美鎮,彰化縣和美鎮第03選區,10007030-03,犁盛里/中寮里/中圍里/糖友里/竹園里/新庄里/柑井里/鐵山里,,
彰化縣和美鎮,彰化縣和美鎮第04選區,10007030-04,塗厝里/地潭里/湖內里/嘉寶里/月眉里/好修里/還社里,,
彰化縣線西鄉,彰化縣線西鄉第01選區,10007040-01,線西村/頂庄村/寓埔村,,
彰化縣線西鄉,彰化縣線西鄉第02選區,10007040-02,塭仔村/溝內村,,
彰化縣線西鄉,彰化縣線西鄉第03選區,10007040-03,頂犁村/德興村/下犁村,,
彰化縣伸港鄉,彰化縣伸港鄉第01選區,10007050-01,海尾村/全興村/大同村,,
彰化縣伸港鄉,彰化縣伸港鄉第02選區,10007050-02,定興村/溪底村,,
彰化縣伸港鄉,彰化縣伸港鄉第03選區,10007050-03,曾家村/泉厝村/蚵寮村/泉州村/什股村,,
彰化縣伸港鄉,彰化縣伸港鄉第04選區,10007050-04,埤墘村/新港村/七嘉村/汴頭村,,
彰化縣福興鄉,彰化縣福興鄉第01選區,10007060-01,外中村/元中村/三汴村/萬豐村/大崙村/外埔村/番婆村,,
彰化縣福興鄉,彰化縣福興鄉第02選區,10007060-02,橋頭村/秀厝村/番社村/社尾村/同安村/西勢村,,
彰化縣福興鄉,彰化縣福興鄉第03選區,10007060-03,頂粘村/福寶村/二港村/福興村/鎮平村/三和村/麥厝村/廈粘村/福南村,,
彰化縣秀水鄉,彰化縣秀水鄉第01選區,10007070-01,金興村/陝西村/安東村/秀水村/安溪村/莊雅村,,
彰化縣秀水鄉,彰化縣秀水鄉第02選區,10007070-02,鶴鳴村/馬興村/義興村,,
