area,cand_no,cand_name,party,cand_sex,cand_birthday,cand_age,cand_bornplace,cand_edu,is_current,is_victor,ticket_num,prv_code,city_code,area_code,dept_code,li_code
彰化縣彰化市,5,劉坤鱧,無黨籍及未經政黨推薦,m,0550101,56,臺北市,博士,N,N,1658,10,007,00,010,0000
彰化縣鹿港鎮,1,施喻琁,民主進步黨,m,0670304,44,臺灣省,碩士,N,N,10916,10,007,00,020,0000
彰化縣鹿港鎮,2,許志宏,中國國民黨,m,0620118,49,臺灣省,碩士,Y,Y,31111,10,007,00,020,0000
彰化縣和美鎮,1,游聖頡,無黨籍及未經政黨推薦,m,0701213,40,臺灣省,碩士,N,N,2090,10,007,00,030,0000
彰化縣和美鎮,2,尤瑞春,民主進步黨,f,0510505,60,臺灣省,碩士,N,N,19602,10,007,00,030,0000
彰化縣和美鎮,3,林庚壬,中國國民黨,m,0510613,60,臺灣省,碩士,N,Y,21601,10,007,00,030,0000
彰化縣線西鄉,1,黃國原,無黨籍及未經政黨推薦,m,0651109,45,臺灣省,高中(職),N,N,3359,10,007,00,040,0000
彰化縣線西鄉,2,蘇韋峻,無黨籍及未經政黨推薦,m,0670426,44,臺灣省,碩士,Y,Y,5523,10,007,00,040,0000
彰化縣伸港鄉,1,曾國貴,無黨籍及未經政黨推薦,m,0691224,41,臺灣省,碩士,N,N,4237,10,007,00,050,0000
彰化縣伸港鄉,2,柯承翰,無黨籍及未經政黨推薦,m,0800422,31,臺灣省,專科,N,N,3149,10,007,00,050,0000
彰化縣伸港鄉,3,陳聿琦,無黨籍及未經政黨推薦,f,0670910,44,臺灣省,專科,N,N,1323,10,007,00,050,0000
彰化縣伸港鄉,4,黄永欽,無黨籍及未經政黨推薦,m,0490306,62,臺灣省,高中(職),N,Y,4251,10,007,00,050,0000
彰化縣伸港鄉,5,黃素月,無黨籍及未經政黨推薦,f,0490808,62,臺灣省,大學,N,N,3743,10,007,00,050,0000
彰化縣伸港鄉,6,姚富川,無黨籍及未經政黨推薦,m,0600618,51,臺灣省,大學,N,N,3205,10,007,00,050,0000
彰化縣福興鄉,1,陳文福,中國國民黨,m,0430723,68,臺灣省,高中(職),N,N,11381,10,007,00,060,0000
彰化縣福興鄉,2,蔣煙燈,民主進步黨,m,0480213,63,臺灣省,專科,Y,Y,13321,10,007,00,060,0000
彰化縣秀水鄉,1,林英嘉,無黨籍及未經政黨推薦,m,0580506,53,臺灣省,碩士,Y,Y,17872,10,007,00,070,0000
彰化縣花壇鄉,1,顧勝敏,中國國民黨,m,0680513,43,臺灣省,碩士,Y,Y,13783,10,007,00,080,0000
彰化縣花壇鄉,2,葉繼元,民主進步黨,m,0740203,37,臺灣省,碩士,N,N,9407,10,007,00,080,0000
彰化縣芬園鄉,1,洪千芸,無黨籍及未經政黨推薦,f,0740302,37,臺灣省,碩士,N,N,4574,10,007,00,090,0000
彰化縣芬園鄉,2,林世明,民主進步黨,m,0651031,46,臺灣省,碩士,Y,Y,8726,10,007,00,090,0000
彰化縣芬園鄉,3,蔡鎮吉,無黨籍及未經政黨推薦,m,0591011,52,臺灣省,專科,N,N,136,10,007,00,090,0000
彰化縣員林市,1,張文和,無黨籍及未經政黨推薦,m,0370704,74,臺灣省,大學,N,N,1195,10,007,00,100,0000
彰化縣員林市,2,陳秋蓉,民主進步黨,f,0550717,56,臺灣省,碩士,N,N,28995,10,007,00,100,0000
彰化縣員林市,3,游振雄,中國國民黨,m,0510208,60,臺灣省,大學,Y,Y,29977,10,007,00,100,0000
彰化縣溪湖鎮,1,黃瑞珠,中國國民黨,f,0530305,58,臺灣省,大學,Y,N,13022,10,007,00,110,0000
彰化縣溪湖鎮,2,何炳樺,無黨籍及未經政黨推薦,m,0671203,43,臺灣省,大學,N,Y,13883,10,007,00,110,0000
彰化縣田中鎮,1,洪麗娜,無黨籍及未經政黨推薦,f,0441016,67,臺灣省,專科,Y,N,9371,10,007,00,120,0000
