地區,姓名,號次,得票數,得票率
臺北市中山區正得里,陳履安,1,199,10.95%
臺北市中山區正得里,李登輝,2,753,41.42%
臺北市中山區正得里,彭明敏,3,506,27.83%
臺北市中山區正得里,林洋港,4,360,19.80%
臺北市中山區民安里,陳履安,1,317,10.84%
臺北市中山區民安里,李登輝,2,1208,41.30%
臺北市中山區民安里,彭明敏,3,919,31.42%
臺北市中山區民安里,林洋港,4,481,16.44%
臺北市中山區康樂里,陳履安,1,287,9.64%
臺北市中山區康樂里,李登輝,2,1118,37.54%
臺北市中山區康樂里,彭明敏,3,688,23.10%
臺北市中山區康樂里,林洋港,4,885,29.72%
臺北市中山區中山里,陳履安,1,271,10.32%
臺北市中山區中山里,李登輝,2,1079,41.09%
臺北市中山區中山里,彭明敏,3,821,31.26%
臺北市中山區中山里,林洋港,4,455,17.33%
臺北市中山區聚盛里,陳履安,1,202,11.64%
臺北市中山區聚盛里,李登輝,2,656,37.81%
臺北市中山區聚盛里,彭明敏,3,518,29.86%
臺北市中山區聚盛里,林洋港,4,359,20.69%
臺北市中山區集英里,陳履安,1,325,9.74%
臺北市中山區集英里,李登輝,2,1511,45.28%
臺北市中山區集英里,彭明敏,3,1098,32.90%
臺北市中山區集英里,林洋港,4,403,12.08%
臺北市中山區聚葉里,陳履安,1,230,10.76%
臺北市中山區聚葉里,李登輝,2,936,43.78%
臺北市中山區聚葉里,彭明敏,3,654,30.59%
臺北市中山區聚葉里,林洋港,4,318,14.87%
臺北市中山區恆安里,陳履安,1,191,11.40%
臺北市中山區恆安里,李登輝,2,707,42.18%
臺北市中山區恆安里,彭明敏,3,523,31.21%
臺北市中山區恆安里,林洋港,4,255,15.21%
臺北市中山區晴光里,陳履安,1,243,11.80%
臺北市中山區晴光里,李登輝,2,855,41.50%
臺北市中山區晴光里,彭明敏,3,544,26.41%
臺北市中山區晴光里,林洋港,4,418,20.29%
臺北市中山區圓山里,陳履安,1,295,10.70%
臺北市中山區圓山里,李登輝,2,1074,38.96%
臺北市中山區圓山里,彭明敏,3,705,25.57%
臺北市中山區圓山里,林洋港,4,683,24.77%
臺北市中山區新庄里,陳履安,1,338,11.56%
臺北市中山區新庄里,李登輝,2,1280,43.76%
臺北市中山區新庄里,彭明敏,3,874,29.88%
臺北市中山區新庄里,林洋港,4,433,14.80%
臺北市中山區劍潭里,陳履安,1,155,8.96%
臺北市中山區劍潭里,李登輝,2,542,31.33%
臺北市中山區劍潭里,彭明敏,3,146,8.44%
臺北市中山區劍潭里,林洋港,4,887,51.27%
臺北市中山區大直里,陳履安,1,799,13.26%
臺北市中山區大直里,李登輝,2,2075,34.43%
臺北市中山區大直里,彭明敏,3,1438,23.86%
臺北市中山區大直里,林洋港,4,1715,28.46%
臺北市中山區成功里,陳履安,1,417,13.46%
臺北市中山區成功里,李登輝,2,1057,34.13%
臺北市中山區成功里,彭明敏,3,687,22.18%
臺北市中山區成功里,林洋港,4,936,30.22%
臺北市中山區永安里,陳履安,1,442,13.79%
臺北市中山區永安里,李登輝,2,1181,36.85%
臺北市中山區永安里,彭明敏,3,808,25.21%
臺北市中山區永安里,林洋港,4,774,24.15%
臺北市中山區新喜里,陳履安,1,295,10.15%
臺北市中山區新喜里,李登輝,2,1252,43.10%
臺北市中山區新喜里,彭明敏,3,975,33.56%
臺北市中山區新喜里,林洋港,4,383,13.18%
臺北市中山區大佳里,陳履安,1,56,8.06%
臺北市中山區大佳里,李登輝,2,312,44.89%
臺北市中山區大佳里,彭明敏,3,278,40.00%
臺北市中山區大佳里,林洋港,4,49,7.05%
臺北市中山區新福里,陳履安,1,338,11.10%
臺北市中山區新福里,李登輝,2,1270,41.69%
臺北市中山區新福里,彭明敏,3,1056,34.67%
臺北市中山區新福里,林洋港,4,382,12.54%
臺北市中山區松江里,陳履安,1,453,12.13%
臺北市中山區松江里,李登輝,2,1461,39.12%
臺北市中山區松江里,彭明敏,3,1080,28.92%
臺北市中山區松江里,林洋港,4,741,19.84%
臺北市中山區新生里,陳履安,1,254,9.17%
臺北市中山區新生里,李登輝,2,1219,44.01%
臺北市中山區新生里,彭明敏,3,931,33.61%
臺北市中山區新生里,林洋港,4,366,13.21%
臺北市中山區中庄里,陳履安,1,334,10.10%
臺北市中山區中庄里,李登輝,2,1367,41.35%
臺北市中山區中庄里,彭明敏,3,1159,35.06%
臺北市中山區中庄里,林洋港,4,446,13.49%
臺北市中山區行政里,陳履安,1,346,11.47%
臺北市中山區行政里,李登輝,2,1216,40.32%
臺北市中山區行政里,彭明敏,3,938,31.10%
臺北市中山區行政里,林洋港,4,516,17.11%
臺北市中山區行仁里,陳履安,1,545,11.26%
臺北市中山區行仁里,李登輝,2,2047,42.28%
臺北市中山區行仁里,彭明敏,3,1480,30.57%
臺北市中山區行仁里,林洋港,4,769,15.89%
臺北市中山區行孝里,陳履安,1,237,10.29%
臺北市中山區行孝里,李登輝,2,972,42.21%
臺北市中山區行孝里,彭明敏,3,672,29.18%
臺北市中山區行孝里,林洋港,4,422,18.32%
臺北市中山區下埤里,陳履安,1,550,13.02%
臺北市中山區下埤里,李登輝,2,1683,39.84%
臺北市中山區下埤里,彭明敏,3,1247,29.52%
臺北市中山區下埤里,林洋港,4,744,17.61%
臺北市中山區江寧里,陳履安,1,438,12.01%
臺北市中山區江寧里,李登輝,2,1452,39.80%
臺北市中山區江寧里,彭明敏,3,1087,29.80%
臺北市中山區江寧里,林洋港,4,671,18.39%
臺北市中山區江山里,陳履安,1,508,11.47%
臺北市中山區江山里,李登輝,2,1712,38.66%
臺北市中山區江山里,彭明敏,3,1418,32.02%
臺北市中山區江山里,林洋港,4,790,17.84%
臺北市中山區中吉里,陳履安,1,312,10.44%
臺北市中山區中吉里,李登輝,2,1215,40.65%
臺北市中山區中吉里,彭明敏,3,1006,33.66%
臺北市中山區中吉里,林洋港,4,456,15.26%
臺北市中山區中原里,陳履安,1,280,10.76%
臺北市中山區中原里,李登輝,2,1090,41.89%
臺北市中山區中原里,彭明敏,3,881,33.86%
臺北市中山區中原里,林洋港,4,351,13.49%
臺北市中山區興亞里,陳履安,1,347,11.62%
臺北市中山區興亞里,李登輝,2,1167,39.08%
臺北市中山區興亞里,彭明敏,3,937,31.38%
臺北市中山區興亞里,林洋港,4,535,17.92%
臺北市中山區中央里,陳履安,1,279,13.23%
臺北市中山區中央里,李登輝,2,751,35.61%
臺北市中山區中央里,彭明敏,3,557,26.41%
臺北市中山區中央里,林洋港,4,522,24.75%
臺北市中山區朱馥里,陳履安,1,405,10.89%
臺北市中山區朱馥里,李登輝,2,1540,41.42%
臺北市中山區朱馥里,彭明敏,3,916,24.64%
臺北市中山區朱馥里,林洋港,4,857,23.05%
臺北市中山區龍洲里,陳履安,1,465,13.38%
臺北市中山區龍洲里,李登輝,2,974,28.03%
臺北市中山區龍洲里,彭明敏,3,474,13.64%
臺北市中山區龍洲里,林洋港,4,1562,44.95%
臺北市中山區朱園里,陳履安,1,269,11.02%
臺北市中山區朱園里,李登輝,2,1011,41.43%
臺北市中山區朱園里,彭明敏,3,696,28.52%
臺北市中山區朱園里,林洋港,4,464,19.02%
臺北市中山區埤頭里,陳履安,1,294,10.94%
臺北市中山區埤頭里,李登輝,2,1046,38.93%
臺北市中山區埤頭里,彭明敏,3,652,24.26%
臺北市中山區埤頭里,林洋港,4,695,25.87%
臺北市中山區朱崙里,陳履安,1,233,11.69%
臺北市中山區朱崙里,李登輝,2,782,39.24%
臺北市中山區朱崙里,彭明敏,3,579,29.05%
臺北市中山區朱崙里,林洋港,4,399,20.02%
臺北市中山區力行里,陳履安,1,449,12.12%
臺北市中山區力行里,李登輝,2,1407,37.97%
臺北市中山區力行里,彭明敏,3,1192,32.16%
臺北市中山區力行里,林洋港,4,658,17.75%
臺北市中山區復華里,陳履安,1,212,9.86%
臺北市中山區復華里,李登輝,2,882,41.02%
臺北市中山區復華里,彭明敏,3,457,21.26%
臺北市中山區復華里,林洋港,4,599,27.86%
臺北市大同區玉泉里,陳履安,1,239,9.83%
臺北市大同區玉泉里,李登輝,2,1169,48.07%
臺北市大同區玉泉里,彭明敏,3,612,25.16%
臺北市大同區玉泉里,林洋港,4,412,16.94%
臺北市大同區建明里,陳履安,1,215,9.10%
臺北市大同區建明里,李登輝,2,1095,46.36%
臺北市大同區建明里,彭明敏,3,828,35.06%
臺北市大同區建明里,林洋港,4,224,9.48%
臺北市大同區建功里,陳履安,1,221,9.02%
臺北市大同區建功里,李登輝,2,1104,45.08%
臺北市大同區建功里,彭明敏,3,878,35.85%
